motif	fimo_bg_hg19	fimo_without_overlaps	fimo_without_overlaps_1e-2	fimo_without_overlaps_1e-3	fimo_without_overlaps_1e-5	fimo_without_overlaps_1e_6	fimo_without_overlaps_bg	fimo_without_overlaps_bg_1e_2	fimo_without_overlaps_bg_1e_3	fimo_without_overlaps_bg_1e_5	fimo_without_overlaps_bg_1e_6	fimo_with_overlaps	moods_without_overlaps	moods_without_overlaps_1e-2	moods_without_overlaps_1e-3	moods_without_overlaps_1e-5	moods_without_overlaps_1e_6	moods_without_overlaps_bg	moods_without_overlaps_bg_1e_2	moods_without_overlaps_bg_1e_3	moods_without_overlaps_new_bg	moods_without_overlaps_new_bg_1e_2	moods_without_overlaps_new_bg_1e_3	moods_without_overlaps_new_bg_1e_5	moods_without_overlaps_new_bg_1e_6	moods_with_overlaps
JUND_MA0491.1	0.29919563343866706	0.3069520252800919	0.9629416834243033	0.5853203102556737	0.09020396437805228	0.008905486929043378	0.29919563343866706	0.967825337546682	0.5891985061763861	0.1006894570525711	0.011060040218328066	0.3069520252800919	0.31628842286699227	0.9639471416259695	0.5926457914392416	0.10657856937661592	0.00617638609594944	0.6116058603849469	1.0	0.9729962654409653	0.2987647227808101	0.9679689744326343	0.5891985061763861	0.0972421717897156	0.013214593507612756	0.31628842286699227
USF1_MA0093.2	0.5965991316931982	0.566931982633864	0.9835383502170767	0.7937771345875543	0.23299565846599132	0.06602749638205499	0.5965991316931982	0.9853473227206947	0.8062590448625181	0.2952243125904486	0.08954413892908827	0.566931982633864	0.5303907380607815	0.980643994211288	0.7818379160636758	0.18252532561505064	0.03093342981186686	0.7948625180897251	0.9980101302460203	0.9846237337192475	0.5946092619392185	0.9849855282199711	0.8055354558610709	0.28835021707670044	0.0624095513748191	0.5303907380607815
Atf3_MA0605.1	0.1110299488677867	0.09203798392987582	0.9379108838568299	0.38495252008765524	0	0	0.1110299488677867	0.9503287070854638	0.42658875091307524	0	0	0.09203798392987582	0.09130752373995617	0.9130752373995618	0.38203067932797663	0.030679327976625273	0.030679327976625273	0.2929145361577794	0.9992695398100804	0.8575602629656683	0.127100073046019	0.9503287070854638	0.42658875091307524	0.029218407596785977	0.029218407596785977	0.09130752373995617
ATF7_MA0834.1	0.10466668736610053	0.10410780265159748	0.9520290620051541	0.39724283540845157	0.017822212562486416	0.0031359642313782718	0.10466668736610053	0.9557860092526469	0.402738535101065	0.018722637935852455	0.004440028565218741	0.10410780265159748	0.10845468376439904	0.9570900735864875	0.4154686869314124	0.014624150029496694	0	0.6337752662464682	0.9992858695314684	0.9930760393703232	0.10323842642903716	0.9560965007607042	0.40255224019623065	0.016176607569782966	0	0.10845468376439904
ETS1_MA0098.3	0.421244467586566	0.37151783389742254	0.9942723249153866	0.7544910179640718	0.09580838323353294	0.021608956001041395	0.421244467586566	0.9955740692527988	0.7940640458214007	0.12262431658422286	0.032022910700338456	0.37151783389742254	0.32543608435303306	0.9921895339755272	0.7201249674563915	0.04399895860453007	0.009632908096849779	0.7102317104920594	0.9997396511325176	0.99140848737308	0.42020307211663627	0.9955740692527988	0.7935433480864358	0.11195001301744337	0.019526165061181985	0.32543608435303306
RELA_MA0107.1	0.3429713714571286	0.31527093596059114	0.9922895695009638	0.7067180695366603	0.12243878060969515	0.014778325123152709	0.3429713714571286	0.9940029985007496	0.7511244377811095	0.13693153423288357	0.014778325123152709	0.31527093596059114	0.29292496608838436	0.9903619618762047	0.6800171342899979	0.11051617048618548	0.008709930748911259	0.6621689155422289	0.9995716427500535	0.9888627115013922	0.3346897979581638	0.9940029985007496	0.7509816520311273	0.13279074748340117	0.008709930748911259	0.29292496608838436
NFYB_MA0502.1	0.5412876137158852	0.5089806391415909	0.9911359925355726	0.8191042687193841	0.19932353627245158	0.05050151621180313	0.5412876137158852	0.9925355726615349	0.8393981805458363	0.23921156986237463	0.06741310940051318	0.5089806391415909	0.4861208304175414	0.990319570795428	0.8031257289479823	0.16165150454863542	0.034289713086074175	0.940284581292279	0.9990669465826919	0.9976673664567296	0.536505714952181	0.9924189409843713	0.8252857476090506	0.22999766736645674	0.06263121063680896	0.4861208304175414
NRF1_MA0506.1	0.8728426899424717	0.8262249553659988	0.9988097599682603	0.960126958936719	0.5836143622297163	0.3396151557230708	0.8728426899424717	0.9992065066455068	0.9799642927990478	0.6806189248165047	0.4098393175957151	0.8262249553659988	0.7629438603451696	0.9974211465978973	0.9317595715135886	0.4830390795477088	0.18706605832176157	0.9400912517357667	0.9998016266613767	0.9980162666137671	0.871652449910732	0.9992065066455068	0.9716326125768696	0.6772465780599087	0.3945645705217219	0.7629438603451696
MYC_MA0147.3	0.6166107382550335	0.48322147651006714	0.9994407158836689	0.9359619686800895	0.13366890380313198	0.02936241610738255	0.6166107382550335	1.0	0.977069351230425	0.1884787472035794	0.04949664429530201	0.48322147651006714	0.34116331096196867	0.9988814317673378	0.8582214765100671	0.07941834451901567	0	0.9169463087248322	1.0	0.9994407158836689	0.616331096196868	1.0	0.977069351230425	0.18008948545861297	0.040268456375838924	0.34116331096196867
SRF_MA0083.3	0.1881810561609388	0.18692372170997484	0.8608549874266554	0.4077954735959765	0.08382229673093043	0.027661357921207042	0.1881810561609388	0.8784576697401508	0.41617770326906955	0.08256496227996647	0.026404023470243086	0.18692372170997484	0.19362950544844929	0.8880972338642079	0.4098910310142498	0.07963118189438391	0.012573344509639563	0.6429170159262364	0.998742665549036	0.9932942162615256	0.18608549874266556	0.8985750209555742	0.41114836546521377	0.06957250628667226	0	0.19362950544844929
