motif	fimo_bg_hg19	fimo_without_overlaps	fimo_without_overlaps_1e-2	fimo_without_overlaps_1e-3	fimo_without_overlaps_1e-5	fimo_without_overlaps_1e_6	fimo_without_overlaps_bg	fimo_without_overlaps_bg_1e_2	fimo_without_overlaps_bg_1e_3	fimo_without_overlaps_bg_1e_5	fimo_without_overlaps_bg_1e_6	fimo_with_overlaps	moods_without_overlaps	moods_without_overlaps_1e-2	moods_without_overlaps_1e-3	moods_without_overlaps_1e-5	moods_without_overlaps_1e_6	moods_without_overlaps_bg	moods_without_overlaps_bg_1e_2	moods_without_overlaps_bg_1e_3	moods_without_overlaps_new_bg	moods_without_overlaps_new_bg_1e_2	moods_without_overlaps_new_bg_1e_3	moods_without_overlaps_new_bg_1e_5	moods_without_overlaps_new_bg_1e_6	moods_with_overlaps
JUND_MA0491.1	0.16080595977921025	0.16045952845772637	0.015541470968699143	0.06290036273828818	0.11972166619006767	0.016822683489350156	0.16080595977921025	0.015459588937376964	0.06287794596666028	0.12780309936189607	0.02068502350570853	0.1185181077033997	0.15649763689989696	0.015051117956492827	0.0615738184422988	0.13515482695810566	0.01195606839983317	0.05634511049358211	0.003616576408098596	0.013422007614522478	0.16116534944986827	0.015448272700181098	0.06281584024991578	0.12567291627993318	0.024781144781144782	0.11652334964942453
USF1_MA0093.2	0.22464409781350045	0.25138365284350683	0.009958823917296153	0.050851778885154714	0.32365875109938436	0.12164639226795534	0.22464409781350045	0.009396393420282029	0.045912244466992526	0.36542767577250335	0.1602201003398608	0.23892658382252038	0.26825251601097894	0.010192694765362135	0.05405878674171357	0.27474472430224645	0.05953002610966057	0.047503473029292365	0.002737032088811408	0.009110111336506726	0.2244605299098607	0.00945969423210563	0.04585403526837431	0.36026669680189854	0.11569416498993963	0.25593575418994413
Atf3_MA0605.1	0.03844208396560445	0.03663323157435674	0.002929396747320138	0.012891389432485323	0	0	0.03844208396560445	0.0028054392312967125	0.01419094598206692	0	0	0.036321706543672526	0.03727448933949605	0.0027081453429107795	0.012514955731036134	0.04580152671755725	0.04580152671755725	0.016276002029426688	0.0006577051139697672	0.004283803828056726	0.04024051803885292	0.0028059081512602324	0.014212185001764355	0.0437636761487965	0.0437636761487965	0.03696584356055005
ATF7_MA0834.1	0.1770483193277311	0.17651084438829226	0.1125233720313621	0.3060509287499851	0.03492865183923084	0.006250967043168807	0.1770483193277311	0.10992377860980326	0.3044406891048209	0.03664762367813298	0.008838891120932101	0.17139936102236422	0.1818749837286194	0.10768822294344316	0.30262458584465074	0.028768629367212313	0	0.25751755199364157	0.02291937129823027	0.05661776810860472	0.17502302934596659	0.10971696919922254	0.3045500458058303	0.031758610179823225	0	0.17595204513399154
ETS1_MA0098.3	0.13564721663313212	0.13882673411810487	0.006950764056232209	0.035682843792133274	0.14296814296814297	0.040746195385370644	0.13564721663313212	0.006255382876380122	0.03167120101347843	0.16948542641237854	0.058613295210864905	0.13834222006786234	0.13573677923770225	0.007524868991063354	0.037464445347419745	0.07466313231720786	0.018701036138488752	0.039333862014274384	0.001806257270303108	0.007925333699630268	0.13604754077633077	0.006419974447695843	0.031699478955414806	0.1584377302873987	0.036845983787767135	0.1353546291283162
RELA_MA0107.1	0.22914927615731356	0.23312656724297215	0.02799336569921482	0.12141319612665044	0.192199932758041	0.02876997915218902	0.22914927615731356	0.02523944662835037	0.10898016894463981	0.20652525034995153	0.02876997915218902	0.21839222571153039	0.2397242265782478	0.030771005337012602	0.13074990734258535	0.17864974033467976	0.017138442087518437	0.1369256320354309	0.0073249743905795	0.03247509152742658	0.21728349285068713	0.025229316237147963	0.10904586166860177	0.20243796255986068	0.017138442087518437	0.2264161355296195
NFYB_MA0502.1	0.3753943217665615	0.37633666781648845	0.01794960887046098	0.12379365960709658	0.27039000079107667	0.08831327758515195	0.3753943217665615	0.016793820821180343	0.11404801521274067	0.30984213309162323	0.11549605355180338	0.3758181191870479	0.36735413361537106	0.018399756432384524	0.12641008930948075	0.22835488920009886	0.061764705882352944	0.04850388205530838	0.005908018103392386	0.007967789785971605	0.3746233406629204	0.01674352342056665	0.1140536097097081	0.3011606597434331	0.10885870666936955	0.3668529683580513
NRF1_MA0506.1	0.10969422734128617	0.16998265483113967	0.00820345212996484	0.03840736405657944	0.49119292094498707	0.47110621904237754	0.10969422734128617	0.006519687852308425	0.028435500628862034	0.349834310476676	0.5035953686776355	0.14196363140583193	0.2598648648648649	0.010862555617127321	0.05615331277048514	0.5403306335293465	0.30626826891848	0.05013461975868946	0.0029722930975864567	0.009789023296357767	0.10964578472594792	0.006488475131054445	0.028496708449815132	0.3414	0.4924486258974994	0.22217729123942115
MYC_MA0147.3	0.12552301255230125	0.15983720284895014	0.0068362401061969925	0.04241971052698284	0.1656558655345694	0.053178019751835906	0.12552301255230125	0.005484288265601504	0.028922045402810254	0.19147727272727272	0.08302063789868667	0.13313301745059516	0.1838179900557481	0.008496588995347333	0.0548182548897026	0.11855562513045294	0	0.04362344677114653	0.002076636963092656	0.006406579381354595	0.12595365317027174	0.0054777649616050954	0.02886792141051275	0.18739997090062563	0.06983511154219205	0.1564604039756332
SRF_MA0083.3	0.10261684378928122	0.09958691526180641	0.006125227198513723	0.028182476466328748	0.12198841110094541	0.05223585278986941	0.10261684378928122	0.006432871482215228	0.02980728822717176	0.12052615478739676	0.0500198491464867	0.0840241145440844	0.09035791120672795	0.005153097330068165	0.023023140846065115	0.11515151515151516	0.024271844660194174	0.009881983096268811	0.0017092760322990766	0.0023815445371438045	0.10142775556824672	0.005935473868965555	0.027977811684515238	0.10613810741687979	0	0.07721233391827526
