motif	fimo_bg_hg19	fimo_without_overlaps	fimo_without_overlaps_1e-2	fimo_without_overlaps_1e-3	fimo_without_overlaps_1e-5	fimo_without_overlaps_1e_6	fimo_without_overlaps_bg	fimo_without_overlaps_bg_1e_2	fimo_without_overlaps_bg_1e_3	fimo_without_overlaps_bg_1e_5	fimo_without_overlaps_bg_1e_6	fimo_with_overlaps	moods_without_overlaps	moods_without_overlaps_1e-2	moods_without_overlaps_1e-3	moods_without_overlaps_1e-5	moods_without_overlaps_1e_6	moods_without_overlaps_bg	moods_without_overlaps_bg_1e_2	moods_without_overlaps_bg_1e_3	moods_without_overlaps_new_bg	moods_without_overlaps_new_bg_1e_2	moods_without_overlaps_new_bg_1e_3	moods_without_overlaps_new_bg_1e_5	moods_without_overlaps_new_bg_1e_6	moods_with_overlaps
RUNX3_MA0684.1	0.5229547259729944	0.5241575314656922	0.045485393975634	0.24447647864809316	0.644614543466375	0	0.5229547259729944	0.03886452060759232	0.21785729007790922	0.6468305304010349	0	0.5240055665081758	0.5157195008990356	0.0525501513652626	0.2604464796794505	0.6245815399330464	0	0.26938509551081996	0.015351868289647325	0.05580385170102656	0.5224348578224673	0.03884070879429964	0.21706828719966278	0.6483594864479315	0	0.5154947987582376
TBP_MA0108.2	0.11356085774690426	0.10215882806476484	0.02477350659609506	0.061759029500964985	0.17718120805369128	0.31645569620253167	0.11356085774690426	0.028122502129639706	0.0682976397592031	0.1884892086330935	0.40540540540540543	0.10105504004067624	0.08585452204699066	0.020461473759002344	0.052332830238204606	0.14952153110047847	0	0.036472538818283017	0.00665296383993046	0.012039239621117434	0.11426332288401254	0.028046768926940382	0.06821267666481516	0.18736842105263157	0	0.0838243381255401
Crem_MA0609.1	0.5519591141396933	0.5340589887640449	0.04821396570199724	0.2111812979159918	0.6994949494949495	0	0.5519591141396933	0.04963851322616314	0.21882902693787795	0.6994949494949495	0	0.4896973599484868	0.507410021171489	0.044780469233011065	0.19979640480683286	0.6858407079646017	0	0.19983134502343808	0.008037110802746774	0.04784202324170575	0.5533913043478261	0.04961215713160594	0.2168377042949449	0.7194029850746269	0	0.4670347515427087
MEF2A_MA0052.3	0.14918325676365493	0.1391779032333318	0.019898178462627515	0.06536460446704719	0.3069230769230769	0.3377659574468085	0.14918325676365493	0.024523736719729603	0.08025896753731833	0.3479973736047275	0.45161290322580644	0.12948734644267917	0.11536388140161725	0.01429865314124968	0.04866911492584052	0.24244332493702772	0.31291028446389496	0.04086653014437876	0.004682624258122412	0.011583775204161848	0.14963268462430726	0.02370791004806907	0.07861987225916903	0.3464746019711903	0	0.10261328218652602
RFX5_MA0510.2	0.060979365568216815	0.062154858418517214	0.007036372309426921	0.024495812395309884	0.1399282419272168	0.21077654516640254	0.060979365568216815	0.006490649064906491	0.02514384618983019	0.13445378151260504	0.21300138312586445	0.038291711907347085	0.06131052758371477	0.00693967370966751	0.022838543067735514	0.14022346368715083	0.2099009900990099	0.013787008066350675	0.0018586596000796723	0.002763047845230669	0.06109557833695765	0.006392995413063575	0.02505270268696351	0.13549337260677466	0.21955128205128205	0.03779328779328779
ELF1_MA0473.2	0.34708827893175076	0.3674681753889675	0.017197053830148457	0.1016343432688126	0.7274193548387097	0.8375451263537906	0.34708827893175076	0.015758901582434294	0.09285372388712526	0.719418651594671	0.8337874659400545	0.3673019284058135	0.3698674218046081	0.018656681921139	0.1048718705594036	0.7324246771879483	0	0.08281645412593658	0.005702919487566854	0.013817307823616972	0.3462926964732019	0.01564076651199618	0.08956210499161615	0.7231985940246046	0.8821138211382114	0.36974843981213407
ETV6_MA0645.1	0.006938557659100186	0.007905138339920948	0.00034184579261438425	0.0017136967419065082	0.03125	0.037209302325581395	0.006938557659100186	0.000317217786994301	0.001519471549754724	0.027577937649880094	0.03914590747330961	0.007868245458402437	0.008327189139957497	0.0003575127868220131	0.0018819727557591636	0.027624309392265192	0	0.0019754761595945284	0.00012552927595563916	0.0003763583318747142	0.006961506961506962	0.000317041832835522	0.0015102177318571453	0.027813993915688832	0.034482758620689655	0.008289797504425543
MEF2C_MA0497.1	0.12935042975905311	0.10909511534139732	0.01062734256132408	0.03652531987944491	0.24580559254327564	0.3186372745490982	0.12935042975905311	0.012261724393079878	0.04490473092974134	0.29910903691132795	0.4074074074074074	0.10667657704239918	0.08314497901194705	0.008916011702741236	0.02744165371771151	0.1325607687959299	0.27362637362637365	0.016291103647582596	0.0035250257738221277	0.005758265670017932	0.12980564619094906	0.012270055203035353	0.04490339188813643	0.2985760220486909	0.41228070175438597	0.0805291749716653
STAT1_MA0137.3	0.0077405646058889	0.0070893659510733896	0.0011626515150881028	0.004356081089200524	0.01023102310231023	0.015822784810126583	0.0077405646058889	0.0012148234701445544	0.004690082239742895	0.009624639076034648	0.009615384615384616	0.006210636808957313	0.006494661921708185	0.0010443649827929858	0.0038504813101637703	0.009478672985781991	0.008771929824561403	0.0035910224438902745	0.00034335974370199273	0.0009495583504621568	0.007723577235772358	0.0011543980585648661	0.004684115758983325	0.010087424344317418	0.0	0.00551421988896023
PAX5_MA0014.3	0.10006014371181665	0.11458388235914194	0.013213454720862458	0.05215496988595105	0.263782866836302	0.41358024691358025	0.10006014371181665	0.010955990757185547	0.039725099684189434	0.20799719396702912	0.3741258741258741	0.11438493107439755	0.15262172284644196	0.01633449094826593	0.06778107764106915	0.2864583333333333	0	0.0558544285763133	0.004910227130779909	0.012539941375053211	0.10039345094555147	0.010954562747076435	0.039698624093528555	0.20866290018832392	0.3706896551724138	0.15246310538349617
Tcf12_MA0521.1	0.10245017606607548	0.10780491141664957	0.009651861315451794	0.04476967176712827	0.15243806217453054	0.1774891774891775	0.10245017606607548	0.008785105302399966	0.038908077622599326	0.14858279462953755	0.18322295805739514	0.09475729711320792	0.11571685486010791	0.010613133039405899	0.04934975911640615	0.16406049730838246	0.18777292576419213	0.04534554081484082	0.0035195438122916736	0.009422579365377432	0.10255131260507307	0.008827950470464153	0.04184278814699374	0.15015228426395938	0.18313953488372092	0.10094077729796422
USF2_MA0526.2	0.18186046511627907	0.23588062555487263	0.007086326751747112	0.0445384942223259	0.616852886405959	0.7873563218390804	0.18186046511627907	0.0058281232442212155	0.03260048133378289	0.5383177570093458	0.7839586028460543	0.20107113750145536	0.29128839096001546	0.00848588110623974	0.0550872250514682	0.652530779753762	0.8217821782178217	0.020202159874998273	0.0023128290024367107	0.003579274636541298	0.18184365368450547	0.0058288222605857535	0.03255606006061802	0.5385362694300518	0.7816793893129771	0.25148003001751024
